,term,term_d,rate
2017/01/03,0d,0,2.1542
2017/01/03,1m,0.08,2.4852
2017/01/03,2m,0.17,2.6225
2017/01/03,3m,0.25,2.6294
2017/01/03,6m,0.5,2.7152
2017/01/03,9m,0.75,2.7469
2017/01/03,1y,1,2.7484
2017/01/03,3y,3,2.8265
2017/01/03,5y,5,2.8877
2017/01/03,7y,7,3.0364
2017/01/03,10y,10,3.1054
2017/01/03,15y,15,3.5303
2017/01/03,20y,20,3.5605
2017/01/03,30y,30,3.6226
2017/01/03,40y,40,3.7194
2017/01/03,50y,50,3.7919
2017/01/04,0d,0,2.1712
2017/01/04,1m,0.08,2.4796
2017/01/04,2m,0.17,2.6257
2017/01/04,3m,0.25,2.6431
2017/01/04,6m,0.5,2.6687
2017/01/04,9m,0.75,2.7475
2017/01/04,1y,1,2.749
2017/01/04,3y,3,2.8599
2017/01/04,5y,5,2.9339
2017/01/04,7y,7,3.0709
2017/01/04,10y,10,3.1823
2017/01/04,15y,15,3.5677
2017/01/04,20y,20,3.5979
2017/01/04,30y,30,3.6224
2017/01/04,40y,40,3.7178
2017/01/04,50y,50,3.7889
2017/01/05,0d,0,2.1292
2017/01/05,1m,0.08,2.4602
2017/01/05,2m,0.17,2.6132
2017/01/05,3m,0.25,2.6009
2017/01/05,6m,0.5,2.6709
2017/01/05,9m,0.75,2.758
2017/01/05,1y,1,2.7804
2017/01/05,3y,3,2.8567
2017/01/05,5y,5,2.9306
2017/01/05,7y,7,3.1437
2017/01/05,10y,10,3.2086
2017/01/05,15y,15,3.597
2017/01/05,20y,20,3.6272
2017/01/05,30y,30,3.651
2017/01/05,40y,40,3.7462
2017/01/05,50y,50,3.8174
2017/01/06,0d,0,2.0658
2017/01/06,1m,0.08,2.4886
2017/01/06,2m,0.17,2.6225
2017/01/06,3m,0.25,2.6135
2017/01/06,6m,0.5,2.6888
2017/01/06,9m,0.75,2.7626
2017/01/06,1y,1,2.7799
2017/01/06,3y,3,2.8348
2017/01/06,5y,5,2.9534
2017/01/06,7y,7,3.1421
2017/01/06,10y,10,3.1953
2017/01/06,15y,15,3.582
2017/01/06,20y,20,3.6122
2017/01/06,30y,30,3.6337
2017/01/06,40y,40,3.729
2017/01/06,50y,50,3.8001
2017/01/09,0d,0,2.0478
2017/01/09,1m,0.08,2.4934
2017/01/09,2m,0.17,2.5961
2017/01/09,3m,0.25,2.6135
2017/01/09,6m,0.5,2.6665
2017/01/09,9m,0.75,2.746
2017/01/09,1y,1,2.765
2017/01/09,3y,3,2.816
2017/01/09,5y,5,2.9445
2017/01/09,7y,7,3.1086
2017/01/09,10y,10,3.1692
2017/01/09,15y,15,3.5559
2017/01/09,20y,20,3.5861
2017/01/09,30y,30,3.6338
2017/01/09,40y,40,3.729
2017/01/09,50y,50,3.8001
2017/01/10,0d,0,1.9682
2017/01/10,1m,0.08,2.5046
2017/01/10,2m,0.17,2.5964
2017/01/10,3m,0.25,2.6017
2017/01/10,6m,0.5,2.6531
2017/01/10,9m,0.75,2.7083
2017/01/10,1y,1,2.7252
2017/01/10,3y,3,2.8191
2017/01/10,5y,5,2.9119
2017/01/10,7y,7,3.092
2017/01/10,10y,10,3.1792
2017/01/10,15y,15,3.5562
2017/01/10,20y,20,3.5864
2017/01/10,30y,30,3.6269
2017/01/10,40y,40,3.7221
2017/01/10,50y,50,3.7932
2017/01/11,0d,0,1.8879
2017/01/11,1m,0.08,2.4163
2017/01/11,2m,0.17,2.5816
2017/01/11,3m,0.25,2.6057
2017/01/11,6m,0.5,2.6583
2017/01/11,9m,0.75,2.6941
2017/01/11,1y,1,2.7164
2017/01/11,3y,3,2.853
2017/01/11,5y,5,2.9531
2017/01/11,7y,7,3.1308
2017/01/11,10y,10,3.2055
2017/01/11,15y,15,3.581
2017/01/11,20y,20,3.6112
2017/01/11,30y,30,3.6488
2017/01/11,40y,40,3.744
2017/01/11,50y,50,3.8151
2017/01/12,0d,0,1.8869
2017/01/12,1m,0.08,2.4272
2017/01/12,2m,0.17,2.5988
2017/01/12,3m,0.25,2.5816
2017/01/12,6m,0.5,2.6432
2017/01/12,9m,0.75,2.6902
2017/01/12,1y,1,2.7147
2017/01/12,3y,3,2.8106
2017/01/12,5y,5,2.9616
2017/01/12,7y,7,3.1105
2017/01/12,10y,10,3.1888
2017/01/12,15y,15,3.5687
2017/01/12,20y,20,3.5989
2017/01/12,30y,30,3.6418
2017/01/12,40y,40,3.7368
2017/01/12,50y,50,3.8079
2017/01/13,0d,0,1.8274
2017/01/13,1m,0.08,2.3667
2017/01/13,2m,0.17,2.5815
2017/01/13,3m,0.25,2.5511
2017/01/13,6m,0.5,2.589
2017/01/13,9m,0.75,2.6551
2017/01/13,1y,1,2.6866
2017/01/13,3y,3,2.8121
2017/01/13,5y,5,2.9452
2017/01/13,7y,7,3.1067
2017/01/13,10y,10,3.2022
2017/01/13,15y,15,3.5811
2017/01/13,20y,20,3.6113
2017/01/13,30y,30,3.6414
2017/01/13,40y,40,3.7368
2017/01/13,50y,50,3.8079
2017/01/16,0d,0,1.8944
2017/01/16,1m,0.08,2.3258
2017/01/16,2m,0.17,2.5395
2017/01/16,3m,0.25,2.5302
2017/01/16,6m,0.5,2.5532
2017/01/16,9m,0.75,2.5941
2017/01/16,1y,1,2.6224
2017/01/16,3y,3,2.7933
2017/01/16,5y,5,2.9596
2017/01/16,7y,7,3.1226
2017/01/16,10y,10,3.2496
2017/01/16,15y,15,3.5966
2017/01/16,20y,20,3.6213
2017/01/16,30y,30,3.6514
2017/01/16,40y,40,3.7468
2017/01/16,50y,50,3.8179
2017/01/17,0d,0,2.1451
2017/01/17,1m,0.08,2.4527
2017/01/17,2m,0.17,2.5785
2017/01/17,3m,0.25,2.5808
2017/01/17,6m,0.5,2.6303
2017/01/17,9m,0.75,2.6473
2017/01/17,1y,1,2.6677
2017/01/17,3y,3,2.8382
2017/01/17,5y,5,2.983
2017/01/17,7y,7,3.1532
2017/01/17,10y,10,3.2692
2017/01/17,15y,15,3.6266
2017/01/17,20y,20,3.6414
2017/01/17,30y,30,3.6818
2017/01/17,40y,40,3.7768
2017/01/17,50y,50,3.8479
