code,display_name,date,weight
601788.XSHG,光大证券,2016-12-27,0.216
601398.XSHG,工商银行,2016-12-27,1.146
601021.XSHG,春秋航空,2016-12-27,0.106
600153.XSHG,建发股份,2016-12-27,0.21
600150.XSHG,中国船舶,2016-12-27,0.172
600098.XSHG,广州发展,2016-12-27,0.09
600718.XSHG,东软集团,2016-12-27,0.201
600157.XSHG,永泰能源,2016-12-27,0.171
300315.XSHE,掌趣科技,2016-12-27,0.224
000027.XSHE,深圳能源,2016-12-27,0.089
600867.XSHG,通化东宝,2016-12-27,0.228
601901.XSHG,方正证券,2016-12-27,0.367
600863.XSHG,内蒙华电,2016-12-27,0.1
600100.XSHG,同方股份,2016-12-27,0.284
600398.XSHG,海澜之家,2016-12-27,0.156
600795.XSHG,国电电力,2016-12-27,0.403
600011.XSHG,华能国际,2016-12-27,0.336
600010.XSHG,包钢股份,2016-12-27,0.304
600016.XSHG,民生银行,2016-12-27,2.348
600015.XSHG,华夏银行,2016-12-27,0.645
601318.XSHG,中国平安,2016-12-27,4.114
600019.XSHG,宝钢股份,2016-12-27,0.33
600018.XSHG,上港集团,2016-12-27,0.18
601258.XSHG,庞大集团,2016-12-27,0.137
601991.XSHG,大唐发电,2016-12-27,0.127
600074.XSHG,*ST保千,2016-12-27,0.156
601992.XSHG,金隅集团,2016-12-27,0.119
000725.XSHE,京东方A,2016-12-27,0.72
600372.XSHG,中航电子,2016-12-27,0.107
600373.XSHG,中文传媒,2016-12-27,0.131
000538.XSHE,云南白药,2016-12-27,0.377
000728.XSHE,国元证券,2016-12-27,0.283
600376.XSHG,首开股份,2016-12-27,0.14
000686.XSHE,东北证券,2016-12-27,0.204
000338.XSHE,潍柴动力,2016-12-27,0.258
002027.XSHE,分众传媒,2016-12-27,0.108
002024.XSHE,苏宁易购,2016-12-27,0.454
601211.XSHG,国泰君安,2016-12-27,0.317
600547.XSHG,山东黄金,2016-12-27,0.296
601958.XSHG,金钼股份,2016-12-27,0.084
600873.XSHG,梅花生物,2016-12-27,0.135
601336.XSHG,新华保险,2016-12-27,0.403
601919.XSHG,中远海控,2016-12-27,0.239
002594.XSHE,比亚迪,2016-12-27,0.315
600383.XSHG,金地集团,2016-12-27,0.345
600900.XSHG,长江电力,2016-12-27,0.92
000039.XSHE,中集集团,2016-12-27,0.118
601857.XSHG,中国石油,2016-12-27,0.387
600703.XSHG,三安光电,2016-12-27,0.269
002456.XSHE,欧菲光,2016-12-27,0.292
600999.XSHG,招商证券,2016-12-27,0.579
002292.XSHE,奥飞娱乐,2016-12-27,0.147
600871.XSHG,石化油服,2016-12-27,0.077
000783.XSHE,长江证券,2016-12-27,0.419
600705.XSHG,中航资本,2016-12-27,0.315
600704.XSHG,物产中大,2016-12-27,0.126
600570.XSHG,恒生电子,2016-12-27,0.295
002153.XSHE,石基信息,2016-12-27,0.086
002415.XSHE,海康威视,2016-12-27,0.478
002195.XSHE,二三四五,2016-12-27,0.097
600578.XSHG,京能电力,2016-12-27,0.065
000333.XSHE,美的集团,2016-12-27,1.013
600663.XSHG,陆家嘴,2016-12-27,0.183
300003.XSHE,乐普医疗,2016-12-27,0.171
601099.XSHG,太平洋,2016-12-27,0.434
000839.XSHE,中信国安,2016-12-27,0.292
300015.XSHE,爱尔眼科,2016-12-27,0.138
000625.XSHE,长安汽车,2016-12-27,0.387
002475.XSHE,立讯精密,2016-12-27,0.181
600688.XSHG,上海石化,2016-12-27,0.14
002252.XSHE,上海莱士,2016-12-27,0.222
600352.XSHG,浙江龙盛,2016-12-27,0.226
600048.XSHG,保利地产,2016-12-27,0.735
600362.XSHG,江西铜业,2016-12-27,0.166
600208.XSHG,新湖中宝,2016-12-27,0.169
000917.XSHE,电广传媒,2016-12-27,0.185
000750.XSHE,国海证券,2016-12-27,0.171
000999.XSHE,华润三九,2016-12-27,0.108
600685.XSHG,中船防务,2016-12-27,0.071
600369.XSHG,西南证券,2016-12-27,0.23
002500.XSHE,山西证券,2016-12-27,0.167
002470.XSHE,金正大,2016-12-27,0.128
600446.XSHG,金证股份,2016-12-27,0.158
600674.XSHG,川投能源,2016-12-27,0.211
603993.XSHG,洛阳钼业,2016-12-27,0.165
300146.XSHE,汤臣倍健,2016-12-27,0.101
002422.XSHE,科伦药业,2016-12-27,0.156
600177.XSHG,雅戈尔,2016-12-27,0.238
000046.XSHE,泛海控股,2016-12-27,0.17
601006.XSHG,大秦铁路,2016-12-27,0.456
002424.XSHE,贵州百灵,2016-12-27,0.094
601169.XSHG,北京银行,2016-12-27,1.287
600271.XSHG,航天信息,2016-12-27,0.264
601098.XSHG,中南传媒,2016-12-27,0.14
600276.XSHG,恒瑞医药,2016-12-27,0.69
300070.XSHE,碧水源,2016-12-27,0.292
601088.XSHG,中国神华,2016-12-27,0.35
601166.XSHG,兴业银行,2016-12-27,2.347
600196.XSHG,复星医药,2016-12-27,0.25
601766.XSHG,中国中车,2016-12-27,1.148
002673.XSHE,西部证券,2016-12-27,0.362
300024.XSHE,机器人,2016-12-27,0.278
600690.XSHG,青岛海尔,2016-12-27,0.341
002129.XSHE,中环股份,2016-12-27,0.114
002230.XSHE,科大讯飞,2016-12-27,0.281
601186.XSHG,中国铁建,2016-12-27,0.454
002236.XSHE,大华股份,2016-12-27,0.217
600050.XSHG,中国联通,2016-12-27,0.59
601933.XSHG,永辉超市,2016-12-27,0.184
600804.XSHG,鹏博士,2016-12-27,0.282
002202.XSHE,金风科技,2016-12-27,0.308
002007.XSHE,华兰生物,2016-12-27,0.173
002008.XSHE,大族激光,2016-12-27,0.206
601898.XSHG,中煤能源,2016-12-27,0.119
601939.XSHG,建设银行,2016-12-27,0.447
600666.XSHG,奥瑞德,2016-12-27,0.069
002736.XSHE,国信证券,2016-12-27,0.455
600600.XSHG,青岛啤酒,2016-12-27,0.09
600606.XSHG,绿地控股,2016-12-27,0.037
000793.XSHE,华闻传媒,2016-12-27,0.24
601928.XSHG,凤凰传媒,2016-12-27,0.09
300104.XSHE,乐视网,2016-12-27,0.394
601179.XSHG,中国西电,2016-12-27,0.129
002739.XSHE,万达电影,2016-12-27,0.327
600518.XSHG,康美药业,2016-12-27,0.536
600519.XSHG,贵州茅台,2016-12-27,1.676
601998.XSHG,中信银行,2016-12-27,0.215
000858.XSHE,五粮液,2016-12-27,0.713
000729.XSHE,燕京啤酒,2016-12-27,0.111
600221.XSHG,海航控股,2016-12-27,0.232
600028.XSHG,中国石化,2016-12-27,0.563
600029.XSHG,南方航空,2016-12-27,0.284
000503.XSHE,国新健康,2016-12-27,0.435
600023.XSHG,浙能电力,2016-12-27,0.243
600021.XSHG,上海电力,2016-12-27,0.105
600188.XSHG,兖州煤业,2016-12-27,0.047
601688.XSHG,华泰证券,2016-12-27,0.677
600583.XSHG,海油工程,2016-12-27,0.17
600582.XSHG,天地科技,2016-12-27,0.089
000060.XSHE,中金岭南,2016-12-27,0.204
600037.XSHG,歌华有线,2016-12-27,0.122
000776.XSHE,广发证券,2016-12-27,0.605
000063.XSHE,中兴通讯,2016-12-27,0.415
000778.XSHE,新兴铸管,2016-12-27,0.118
600588.XSHG,用友网络,2016-12-27,0.19
000069.XSHE,华侨城A,2016-12-27,0.256
002241.XSHE,歌尔股份,2016-12-27,0.271
601669.XSHG,中国电建,2016-12-27,0.347
601668.XSHG,中国建筑,2016-12-27,1.726
601106.XSHG,中国一重,2016-12-27,0.168
300002.XSHE,神州泰岳,2016-12-27,0.129
601628.XSHG,中国人寿,2016-12-27,0.449
601016.XSHG,节能风电,2016-12-27,0.022
600642.XSHG,申能股份,2016-12-27,0.146
601985.XSHG,中国核电,2016-12-27,0.357
300058.XSHE,蓝色光标,2016-12-27,0.16
300059.XSHE,东方财富,2016-12-27,0.484
000100.XSHE,TCL集团,2016-12-27,0.262
600118.XSHG,中国卫星,2016-12-27,0.203
601718.XSHG,际华集团,2016-12-27,0.135
600115.XSHG,东方航空,2016-12-27,0.271
601216.XSHG,君正集团,2016-12-27,0.138
600111.XSHG,北方稀土,2016-12-27,0.296
600038.XSHG,中直股份,2016-12-27,0.114
300085.XSHE,银之杰,2016-12-27,0.076
600332.XSHG,白云山,2016-12-27,0.148
601899.XSHG,紫金矿业,2016-12-27,0.353
002304.XSHE,洋河股份,2016-12-27,0.444
601198.XSHG,东兴证券,2016-12-27,0.266
600031.XSHG,三一重工,2016-12-27,0.259
600030.XSHG,中信证券,2016-12-27,1.46
002142.XSHE,宁波银行,2016-12-27,0.357
002081.XSHE,金螳螂,2016-12-27,0.188
601727.XSHG,上海电气,2016-12-27,0.276
000800.XSHE,一汽轿车,2016-12-27,0.101
600036.XSHG,招商银行,2016-12-27,2.0
002146.XSHE,荣盛发展,2016-12-27,0.121
002294.XSHE,信立泰,2016-12-27,0.099
000883.XSHE,湖北能源,2016-12-27,0.101
600837.XSHG,海通证券,2016-12-27,1.418
000768.XSHE,中航飞机,2016-12-27,0.257
600839.XSHG,四川长虹,2016-12-27,0.18
601288.XSHG,农业银行,2016-12-27,1.283
000166.XSHE,申万宏源,2016-12-27,0.435
601818.XSHG,光大银行,2016-12-27,0.681
002399.XSHE,海普瑞,2016-12-27,0.073
600170.XSHG,上海建工,2016-12-27,0.148
601111.XSHG,中国国航,2016-12-27,0.212
600535.XSHG,天士力,2016-12-27,0.28
300168.XSHE,万达信息,2016-12-27,0.186
600309.XSHG,万华化学,2016-12-27,0.236
600741.XSHG,华域汽车,2016-12-27,0.222
601118.XSHG,海南橡胶,2016-12-27,0.09
000540.XSHE,中天金融,2016-12-27,0.204
002183.XSHE,怡亚通,2016-12-27,0.159
603885.XSHG,吉祥航空,2016-12-27,0.037
600022.XSHG,山东钢铁,2016-12-27,0.046
600340.XSHG,华夏幸福,2016-12-27,0.242
600109.XSHG,国金证券,2016-12-27,0.268
000977.XSHE,浪潮信息,2016-12-27,0.145
601618.XSHG,中国中冶,2016-12-27,0.274
600104.XSHG,上汽集团,2016-12-27,0.873
002065.XSHE,东华软件,2016-12-27,0.19
600820.XSHG,隧道股份,2016-12-27,0.172
000876.XSHE,新希望,2016-12-27,0.186
601328.XSHG,交通银行,2016-12-27,1.683
601608.XSHG,中信重工,2016-12-27,0.089
000402.XSHE,金融街,2016-12-27,0.187
000651.XSHE,格力电器,2016-12-27,1.432
601888.XSHG,中国国旅,2016-12-27,0.227
601333.XSHG,广深铁路,2016-12-27,0.16
601555.XSHG,东吴证券,2016-12-27,0.32
600959.XSHG,江苏有线,2016-12-27,0.087
600027.XSHG,华电国际,2016-12-27,0.135
000895.XSHE,双汇发展,2016-12-27,0.234
603000.XSHG,人民网,2016-12-27,0.11
601800.XSHG,中国交建,2016-12-27,0.256
000568.XSHE,泸州老窖,2016-12-27,0.251
002385.XSHE,大北农,2016-12-27,0.161
300017.XSHE,网宿科技,2016-12-27,0.3
000712.XSHE,锦龙股份,2016-12-27,0.118
601018.XSHG,宁波港,2016-12-27,0.212
601808.XSHG,中海油服,2016-12-27,0.081
002465.XSHE,海格通信,2016-12-27,0.189
000898.XSHE,鞍钢股份,2016-12-27,0.1
600489.XSHG,中金黄金,2016-12-27,0.233
600886.XSHG,国投电力,2016-12-27,0.248
600887.XSHG,伊利股份,2016-12-27,1.254
000002.XSHE,万科A,2016-12-27,2.194
600737.XSHG,中粮糖业,2016-12-27,0.133
000001.XSHE,平安银行,2016-12-27,0.686
300133.XSHE,华策影视,2016-12-27,0.098
600739.XSHG,辽宁成大,2016-12-27,0.274
600637.XSHG,东方明珠,2016-12-27,0.34
600485.XSHG,信威集团,2016-12-27,0.212
000009.XSHE,中国宝安,2016-12-27,0.23
600875.XSHG,东方电气,2016-12-27,0.128
000963.XSHE,华东医药,2016-12-27,0.185
300251.XSHE,光线传媒,2016-12-27,0.105
601377.XSHG,兴业证券,2016-12-27,0.424
600406.XSHG,国电南瑞,2016-12-27,0.236
600585.XSHG,海螺水泥,2016-12-27,0.379
601607.XSHG,上海医药,2016-12-27,0.245
601601.XSHG,中国太保,2016-12-27,0.993
601600.XSHG,中国铝业,2016-12-27,0.267
000061.XSHE,农产品,2016-12-27,0.12
