,code,display_name,date,weight
0,000001.XSHE,深发展A,2011-01-10,0.81
1,000012.XSHE,南玻A,2011-01-10,0.26
2,000021.XSHE,长城开发,2011-01-10,0.13
3,000031.XSHE,中粮地产,2011-01-10,0.1
4,000059.XSHE,辽通化工,2011-01-10,0.13
5,000060.XSHG,中金岭南,2011-01-10,0.43
6,000061.XSHE,农产品,2011-01-10,0.16
7,000069.XSHE,华侨城A,2011-01-10,0.36
8,000338.XSHE,潍柴动力,2011-01-10,0.57
9,000402.XSHE,金融街,2011-01-10,0.3
10,000425.XSHE,徐工机械,2011-01-10,0.42
11,000527.XSHE,美的电器,2011-01-10,0.58
12,000528.XSHE,柳工,2011-01-10,0.29
13,000538.XSHE,云南白药,2011-01-10,0.29
14,000568.XSHE,泸州老窖,2011-01-10,0.49
15,000612.XSHE,焦作万方,2011-01-10,0.13
16,000623.XSHE,吉林敖东,2011-01-10,0.28
17,000625.XSHE,长安汽车,2011-01-10,0.12
18,000651.XSHE,格力电器,2011-01-10,0.63
19,000652.XSHE,泰达股份,2011-01-10,0.15
20,000685.XSHE,中山公用,2011-01-10,0.06
21,000686.XSHE,东北证券,2011-01-10,0.1
22,000690.XSHE,宝新能源,2011-01-10,0.12
23,000718.XSHE,苏宁环球,2011-01-10,0.12
24,000725.XSHE,京东方A,2011-01-10,0.23
25,000729.XSHE,燕京啤酒,2011-01-10,0.22
26,000776.XSHE,广发证券,2011-01-10,0.09
27,000792.XSHE,盐湖钾肥,2011-01-10,0.53
28,000807.XSHE,云铝股份,2011-01-10,0.15
29,000825.XSHE,太钢不锈,2011-01-10,0.28
30,000858.XSHE,五粮液,2011-01-10,1.12
31,000876.XSHE,新希望,2011-01-10,0.15
32,000898.XSHE,鞍钢股份,2011-01-10,0.27
33,000933.XSHE,神火股份,2011-01-10,0.29
34,000951.XSHE,中国重汽,2011-01-10,0.14
35,000959.XSHE,首钢股份,2011-01-10,0.1
36,000960.XSHE,锡业股份,2011-01-10,0.24
37,000961.XSHE,中南建设,2011-01-10,0.08
38,000969.XSHE,安泰科技,2011-01-10,0.2
39,000983.XSHE,西山煤电,2011-01-10,0.79
40,002001.XSHE,新和成,2011-01-10,0.14
41,002092.XSHE,中泰化学,2011-01-10,0.15
42,002122.XSHE,天马股份,2011-01-10,0.13
43,002142.XSHE,宁波银行,2011-01-10,0.27
44,002304.XSHE,洋河股份,2011-01-10,0.17
45,002399.XSHE,海普瑞,2011-01-10,0.2
46,002405.XSHE,四维图新,2011-01-10,0.07
47,002415.XSHE,海康威视,2011-01-10,0.08
48,002422.XSHE,科伦药业,2011-01-10,0.19
49,600006.XSHG,东风汽车,2011-01-10,0.07
50,600009.XSHG,上海机场,2011-01-10,0.22
51,600010.XSHG,包钢股份,2011-01-10,0.18
52,600015.XSHG,华夏银行,2011-01-10,0.61
53,600016.XSHG,民生银行,2011-01-10,2.09
54,600019.XSHG,宝钢股份,2011-01-10,0.62
55,600026.XSHG,中海发展,2011-01-10,0.11
56,600030.XSHG,中信证券,2011-01-10,1.57
57,600033.XSHG,福建高速,2011-01-10,0.09
58,600036.XSHG,招商银行,2011-01-10,2.93
59,600037.XSHG,歌华有线,2011-01-10,0.15
60,600058.XSHG,五矿发展,2011-01-10,0.25
61,600066.XSHG,宇通客车,2011-01-10,0.15
62,600089.XSHG,特变电工,2011-01-10,0.7
63,600096.XSHG,云天化,2011-01-10,0.14
64,600100.XSHG,同方股份,2011-01-10,0.34
65,600108.XSHG,亚盛集团,2011-01-10,0.17
66,600109.XSHG,国金证券,2011-01-10,0.08
67,600115.XSHG,东方航空,2011-01-10,0.28
68,600118.XSHG,中国卫星,2011-01-10,0.15
69,600123.XSHG,兰花科创,2011-01-10,0.27
70,600125.XSHG,铁龙物流,2011-01-10,0.19
71,600143.XSHG,金发科技,2011-01-10,0.23
72,600153.XSHG,建发股份,2011-01-10,0.16
73,600161.XSHG,天坛生物,2011-01-10,0.11
74,600166.XSHG,福田汽车,2011-01-10,0.27
75,600169.XSHG,太原重工,2011-01-10,0.2
76,600177.XSHG,雅戈尔,2011-01-10,0.27
77,600183.XSHG,生益科技,2011-01-10,0.12
78,600188.XSHG,兖州煤业,2011-01-10,0.3
79,600216.XSHG,浙江医药,2011-01-10,0.16
80,600256.XSHG,广汇股份,2011-01-10,0.56
81,600266.XSHG,北京城建,2011-01-10,0.1
82,600271.XSHG,航天信息,2011-01-10,0.22
83,600276.XSHG,恒瑞医药,2011-01-10,0.36
84,600300.XSHG,维维股份,2011-01-10,0.09
85,600309.XSHG,烟台万华,2011-01-10,0.3
86,600312.XSHG,平高电气,2011-01-10,0.16
87,600316.XSHG,洪都航空,2011-01-10,0.15
88,600320.XSHG,振华重工,2011-01-10,0.21
89,600325.XSHG,华发股份,2011-01-10,0.13
90,600348.XSHG,国阳新能,2011-01-10,0.62
91,600362.XSHG,江西铜业,2011-01-10,0.63
92,600369.XSHG,西南证券,2011-01-10,0.1
93,600380.XSHG,健康元,2011-01-10,0.1
94,600395.XSHG,盘江股份,2011-01-10,0.2
95,600432.XSHG,吉恩镍业,2011-01-10,0.15
96,600456.XSHG,宝钛股份,2011-01-10,0.1
97,600497.XSHG,驰宏锌锗,2011-01-10,0.24
98,600500.XSHG,中化国际,2011-01-10,0.16
99,600508.XSHG,上海能源,2011-01-10,0.15
100,600517.XSHG,置信电气,2011-01-10,0.11
