,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,bonus_ratio_rmb,at_bonus_ratio_rmb,a_registration_date,a_xr_date,a_bonus_date,plan_progress_code,plan_progress
000001,43997,430000001,平安银行股份有限公司,000001.XSHE,2017-12-31,年度分红,2018-03-15,10派1.36元(含税),2018-06-21,10派1.36元(含税),2018-07-06,10派1.36元(含税),1.36,1.36,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
000933,44633,430000933,河南神火煤电股份有限公司,000933.XSHE,2017-12-31,年度分红,2018-04-28,10派0.25元(含税),2018-05-19,10派0.25元(含税),2018-07-06,10派0.25元(含税),0.25,0.25,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
000983,44693,430000983,山西西山煤电股份有限公司,000983.XSHE,2017-12-31,年度分红,2018-04-24,10派0.4元(含税),2018-05-19,10派0.4元(含税),2018-07-05,10派0.4元(含税),0.4,0.4,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
002142,2650,300003281,宁波银行股份有限公司,002142.XSHE,2017-12-31,年度分红,2018-03-29,10派4元(含税),2018-05-17,10派4元(含税),2018-07-05,10派4元(含税),4.0,4.0,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
002375,9173,300011247,浙江亚厦装饰股份有限公司,002375.XSHE,2017-12-31,年度分红,2018-04-27,10派0.4元(含税),2018-05-22,10派0.4元(含税),2018-07-04,10派0.4元(含税),0.4,0.4,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
300315,17451,300022022,北京掌趣科技股份有限公司,300315.XSHE,2017-12-31,年度分红,2018-04-25,10派0.1元(含税),2018-05-16,10派0.1元(含税),2018-07-05,10派0.1元(含税),0.1,0.1,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
600010,22966,420600010,内蒙古包钢钢联股份有限公司,600010.XSHG,2017-12-31,年度分红,2018-04-20,10派0.05元(含税),2018-05-18,10派0.05元(含税),2018-07-04,10派0.05元(含税),0.05,0.05,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
600029,23342,420600029,中国南方航空股份有限公司,600029.XSHG,2017-12-31,年度分红,2018-03-27,10派1元(含税),2018-06-16,10派1元(含税),2018-07-06,10派1元(含税),1.0,1.0,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
600036,23502,420600036,招商银行股份有限公司,600036.XSHG,2017-12-31,年度分红,2018-03-24,10派8.4元(含税),2018-06-28,10派8.4元(含税),2018-07-05,10派8.4元(含税),8.4,8.4,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
600606,40482,420600606,绿地控股集团股份有限公司,600606.XSHG,2017-12-31,年度分红,2018-04-24,10派2.5元(含税),2018-05-17,10派2.5元(含税),2018-07-05,10派2.5元(含税),2.5,2.5,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
600737,43788,420600737,中粮屯河糖业股份有限公司,600737.XSHG,2017-12-31,年度分红,2018-04-18,10派1.7元(含税),2018-05-26,10派1.7元(含税),2018-07-06,10派1.7元(含税),1.7,1.7,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
601169,3345,300003642,北京银行股份有限公司,601169.XSHG,2017-12-31,年度分红,2018-04-27,10派2.67元(含税),2018-05-18,10派2.67元(含税),2018-07-04,10派2.67元(含税),2.67,2.67,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
601992,5974,300006630,北京金隅集团股份有限公司,601992.XSHG,2017-12-31,年度分红,2018-03-30,10派0.48元(含税),2018-05-25,10派0.48元(含税),2018-07-05,10派0.48元(含税),0.48,0.48,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
603833,21673,300029667,欧派家居集团股份有限公司,603833.XSHG,2017-12-31,年度分红,2018-04-20,10派10元(含税),2018-05-16,10派10元(含税),2018-07-05,10派10元(含税),10.0,10.0,2018-07-11,2018-07-12,2018-07-12,313002,实施方案
